ra,dec,SPECOBJID,Z_SDSS_PIPELINE,objID,dered_u,dered_g,dered_r,dered_i,dered_z,run,camcol,field,CONFIDENCE,ZWARNING
331.00256,-1.1955088,b'  10394312747735341056',1.233244,1.23766E+18,-9999,-9999,-9999,-9999,-9999,3465,1,38,0.982316077,4
130.02594,0.41335728,b'   5396489750424344576',1.2670367,1.23765E+18,22.58929,21.79881,21.80516,21.80181,20.77505,756,4,95,0.920567632,4
176.85047,-2.7906653,b'   4267252543531538432',1.7236688,1.23765E+18,22.24055,21.61127,21.69589,21.87383,21.45796,1231,3,51,0.954273283,4
129.68504,51.926848,b'   5806391538163668992',1.052531,1.23765E+18,24.50765,21.35031,21.51027,21.00641,22.09071,1302,5,173,0.969877124,4
115.88244,39.292752,b'   4125324284704086016',1.2754313,1.23765E+18,24.43855,21.4969,21.26462,21.08399,20.89359,1331,6,77,0.921780467,4
121.60898,45.54532,b'   4155834358471874560',1.4163188,1.23765E+18,24.36421,21.05826,21.02769,21.10995,22.74632,1331,6,128,0.921402931,4
137.84757,54.847437,b'   8202320851494000640',1.4124365,1.23765E+18,23.09459,20.96356,20.76319,20.65704,21.65966,1345,2,195,0.978597581,4
115.81944,39.753827,b'   4132223174355212288',1.2788132,1.23765E+18,24.39987,21.79757,21.98929,21.7461,22.75694,1402,2,53,0.995754361,4
113.88375,38.747456,b'   4125409496855238656',1.3602158,1.23765E+18,22.84588,21.73969,21.70604,21.54517,21.00811,1402,4,42,0.932327271,4
17.495339,-9.6054424,b'    742120907618674688',2.6262686,1.23765E+18,21.86816,20.93856,20.57853,20.1824,22.31478,1729,4,198,0.965978026,4
128.55626,45.632841,b'   8248462401995036672',1.4241012,1.23765E+18,24.52725,20.99074,20.69377,20.77604,20.47909,2075,2,69,0.962550998,4
118.55928,38.156384,b'   4278603356484950016',1.1244671,1.23765E+18,23.38461,21.76639,21.42837,21.74895,21.60824,2076,4,92,0.967088521,4
146.29139,4.0767469,b'   5402129970599581696',1.2753409,1.23765E+18,24.47024,21.02234,21.1671,20.83599,20.5427,2125,4,184,0.961966455,4
158.82609,4.5043184,b'    649699261541279744',1.5116239,1.23765E+18,18.38745,17.94592,17.82529,17.85656,17.95075,2125,4,267,0.923580647,4
131.28048,1.9232856,b'   4289904145870379008',1.4737176,1.23765E+18,24.31123,20.29994,20.5252,20.0176,22.73053,2126,1,80,0.926089764,4
154.86261,4.5796977,b'   5406738573251860480',1.6567267,1.23765E+18,24.53678,21.48214,21.01169,20.72841,20.69614,2126,4,238,0.987046719,4
167.45321,5.468101,b'   5370729022316894208',1.3683335,1.23765E+18,24.31121,21.57706,21.13141,20.64023,20.70811,2126,5,322,0.987992406,4
258.74747,32.719103,b'   5627411657632536576',1.4218624,1.23766E+18,24.05299,21.76149,21.49036,21.24321,21.26658,2248,6,224,0.977142036,4
339.30154,12.918051,b'   2131409392099158016',1.1849453,1.23766E+18,21.22154,20.3231,20.04526,20.0336,20.09579,2507,2,149,0.94080174,4
341.40146,-0.97087421,b'  10378600171567339520',1.1679007,1.23766E+18,21.71111,21.48777,21.19606,20.81572,20.91195,2662,1,158,0.990847945,4
351.43837,-0.932264,b'  10307644843288188928',1.9119138,1.23766E+18,24.03605,22.38732,21.70906,21.33963,21.00522,2662,1,225,0.938039422,4
19.746442,-3.0434676,b'   4901079495816271872',1.1624616,1.23766E+18,24.44924,20.56667,20.28249,19.97731,20.25401,2699,2,99,0.997901678,4
36.765958,-0.59011101,b'   7633697136249690112',1.5712441,1.23766E+18,24.24433,21.47573,21.29316,22.52011,20.91757,2700,2,111,0.94515723,4
38.440005,-0.57636707,b'   8813551185929984000',4.593511,1.23766E+18,24.54088,21.71599,21.66663,21.17012,20.9343,2700,2,122,0.995280683,4
118.38697,30.439582,b'   4225571161898244096',1.1195675,1.23766E+18,22.41533,21.84016,21.52986,21.54053,21.72759,2822,1,69,0.93518734,4
120.78976,30.909607,b'   4227968647304599552',1.7870833,1.23766E+18,23.50288,21.12254,20.64197,20.33936,20.30924,2830,6,82,0.930657387,4
138.14276,48.302345,b'   6454880483507722240',1.0604323,1.23766E+18,24.54812,21.48436,21.39949,21.71828,21.59633,2831,6,18,0.925994873,4
147.36548,43.630972,b'   9329321645545117696',1.0481225,1.23766E+18,24.13702,22.07343,21.75587,22.00614,22.54531,2964,4,147,0.929071724,4
203.50501,53.765862,b'   7607904789784188928',1.5881058,1.23766E+18,24.56615,21.11514,20.82821,20.54329,21.18472,3103,4,228,0.978348911,4
113.76051,18.351897,b'  12478495595198437376',1.8843437,1.23766E+18,22.70076,21.93736,22.14943,22.28022,22.71229,3605,4,21,0.931973398,4
127.27081,6.6437825,b'   1979354353080756224',2.7351027,1.23766E+18,22.79783,21.08139,20.33147,20.00571,20.06889,3630,3,72,0.973053753,4
182.84753,56.781981,b'   7698957821799585792',1.048068,1.23766E+18,24.59117,20.8899,20.54685,20.05917,22.81395,3697,2,81,0.988241851,4
203.9617,46.933787,b'   7597649369199040512',1.2225466,1.23766E+18,24.43868,21.6432,21.53913,21.59339,22.79829,3699,6,107,0.937592149,4
229.75131,30.022057,b'   4358627459018807296',1.412997,1.23766E+18,23.6672,21.43365,21.0943,20.77129,20.65735,3900,2,626,0.924792111,4
184.32572,40.187914,b'   7467030136514435072',1.9390762,1.23766E+18,23.41941,21.90739,21.73717,21.80433,21.69559,3900,4,371,0.96655041,4
203.78331,10.608939,b'   6119469503703439360',2.0419526,1.23766E+18,22.42733,21.50297,21.49652,21.44403,21.45299,3903,6,149,0.931476712,4
239.71483,33.438911,b'   5591487863806253056',1.475974,1.23766E+18,24.50509,20.80707,21.13402,20.92834,21.57073,3926,6,87,0.98951447,4
245.91237,30.687692,b'   5576741764231092224',1.2374425,1.23766E+18,23.28532,20.88918,20.63091,20.38776,20.64463,3958,5,111,0.942305803,4
87.137011,-0.817725,b'   8170700540759791616',4.992626,1.23766E+18,14.45057,14.68417,14.38579,14.15737,21.17599,4158,2,88,0.989977837,4
333.76024,0.83992241,b'  10321151519354017792',1.7349763,1.23766E+18,21.50832,21.40079,21.5008,21.66349,22.40344,4192,6,180,0.96880585,4
327.00232,0.41306469,b'  10317776018337978368',1.9678463,1.23766E+18,21.45529,22.32724,21.7781,21.8487,21.27213,4207,4,151,0.940256238,4
337.46745,0.39636059,b'  10405671527232329728',1.5977886,1.23766E+18,23.17936,22.58371,22.8916,22.60479,22.7197,4207,4,221,0.950608194,4
18.921887,0.18980867,b'  10580148081067841536',1.1791445,1.23766E+18,25.22612,23.34946,23.32896,22.8331,22.11106,4263,4,242,0.966480374,4
25.406656,1.0449818,b'  10576838825962919936',1.1495563,1.23766E+18,24.25802,23.08913,22.41372,22.53689,22.3284,4263,6,285,0.938208222,4
143.19247,31.260031,b'  11742108396526262272',1.2726973,1.23766E+18,24.71504,23.72281,22.94451,22.4653,21.48064,4335,2,217,0.941607296,4
206.76872,13.470948,b'   6126088564289853440',1.4263378,1.23766E+18,24.53326,21.29281,21.11375,20.77773,20.93801,4381,2,236,0.933525383,4
165.59025,34.742691,b'  11559746972664748032',1.6124506,1.23766E+18,22.44394,21.64335,22.5055,22.10517,22.9479,4392,1,127,0.990448892,4
154.57231,36.572982,b'   9971234957220403200',1.1694643,1.23766E+18,24.82806,21.72389,21.70251,21.32603,21.31559,4469,5,288,0.925280511,4
148.16878,28.404216,b'  12776736473673390080',2.1402235,1.23767E+18,21.73647,21.56484,21.4504,21.27702,20.94032,4576,2,235,0.923644543,4
